artist,credit_line,display_dimensions,geometry,medium,title,location
"Bufano, Beniamino",,180 in.,"-122.398337,37.7970899",Red porphyry and stainless steel,Penguins,"Jackson St
(40.71681253676523, -77.8931246926056)"
"Bullock, George",Gift to the Public Library of San Francisco by the people and mayor of Stratford-upon-Avon.,"32"" H","-122.4671799,37.76887809999999",Bronze,William Shakespeare,
"Buster, Kendall",Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223",Powder coated steel and shade cloth,Topograph,
"Butterfield, Deborah",San Francisco Arts Commission,,"-122.389979,37.615223",bronze with patina (cast over sticks and branches),Pohina,
"Carey, Michael",,168 in.,"-122.4649463,37.7516878","patina-finished cast bronze, corten steel, concrete",Woman with Birds,
"Carnwath, Squeak",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,"17 1/2' X 17 1/2' square; each panel is 30"" square","-122.389979,37.615223",Porcelain enamel,"Fly, Flight, Fugit",
"Carpenter, James",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,160' X 25' each (X4),"-122.389979,37.615223","polycarbonate, glass, steel and anodized aluminum",Sculptural Light Reflectors,
"Carter, Dudley C.",Gift of the Golden Gate International Exposition.,"26' H X 21"" in circumference","-122.451725,37.7277894",Redwood log,Goddess of the Forest,
"Catalusci, Robert",,,"-122.393207,37.756677","graphite, stainless steel, glass, custom paint",Untitled,"700 Pennsylvania Ave
"
"Cervantes, Morales and Poethig",,,"-122.45221,37.7458728",,Roots and Branches,"375 Woodside Ave
"
"Chagoya, Enrique",Gift of the Mexican Government to the San Francisco main Library,,"-122.4596396,37.7243765","Rembrandt medium pastel, charcoal",Authors of Latin American Roots,
"Chagoya, Enrique",Commissioned by the Public Art Program for San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"-122.389979,37.615223",glass tiles,Love Letters,
"Chamberlain, Ann",Commissioned by the SFAC Public Art Program for the new Municipal Parking Garage at SFGH,,"-122.4044431,37.7557795",Photographic Images on Glass,Untitled Photographic Images,
"Chamberlain, Ann and Hamilton, Ann",Commission by the San Francisco Art Commission for the New Main Library,,"-122.415783,37.778864",Annotated library cards imbedded in artisan plaster forming walls,Untitled,
"Chamberlain, Ann and Ho0d, Walter",Gift of the Abraham Lincoln Brigade Archives (ALBA) to the City and County of San Francisco,114 in. x 468 in. x 24 in.,"-122.3945938,37.7948985",,Abraham Lincoln Brigade National Monument,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Cotton thread tapestry,Earth,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Mixed media,Water,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",,Untitled,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",,"Earth, Air, Fire, Water",
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Cotton thread tapestry,Air,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",,Fire,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Cotton thread tapestry,Earth,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",,Water,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Mixed media,Fire,
"Chamberlain, Ann and Lubell, Bernie",,,"-122.4556651,37.7478586",Cotton thread tapestry,Air,
"Champagne, Lee Roy",Commissioned by the San Francisco Art Commission for the Lombard Street Parking Garage.,,"-122.4360411,37.7998069",glass blocks and neon lights,The Grail,"Lombard St
"
"Cheng, Carl",Commissioned for the New Sheriff's Facility,,"-122.403768,37.775252","redwood, steel construction",Heliostats,
"Chesse, Ralph A.",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Children at Play,
"Choi, Man Lin",Gift from the Korean Government,"77"" H X 94"" W X 65"" D","-122.3916833,37.795664",Bronze,Movement: The First 100 Years,
"Chomenko, Mary",Commissioned by the San Francisco Art Commission for the Clean Water Program,"84 "" diameter approx","-122.5079516,37.749111",cast bronze,Ocean Beach Fossil,
"Collins, Goto, Reiko",Commissioned by the San Francisco Art Commission for the San Andreas Water Treatment Facility.,various; total Wall dimension is approx. 30' in length. Number of parts is 64.,"-122.4194155,37.7749295","Photography, computer-generated text and sounds",Aqua Pura,
"Concha, Jerry",Purchased by the San Francisco Arts Commission for the San Francisco General Hospital.,"300"" X 120""","-122.4044431,37.7557795",Mosaic-tile mural.,Roof Mural,
"Connor, Gerome",Gift of James D. Phelan,7' H,"-122.4666711,37.7703537",Bronze,Robert Emmet (1778-1803),
"Conrads, Carl H.",Gift of the Major General C.W. Callum,8' H,"-122.4835193,37.76904",Granite,General Henry W. Halleck (1815-1872),
"Corliss, Troy",,,"-122.4278691,37.7424244",Stainless steel and glass,Noe Valley Natives,
"Coullaut-Valera, Frederico",Gift from the government of Spain to the San Francisco Art Commission,"91/2' H X 38"" W X 44"" D","-122.4835175,37.6986166",Bronze,Statue of King Carlos III,
"Cravath, Dorothy and Forbes, Helen",WPA Mural Project for the Mothers' House at the Fleishhacker Zoo,,"-122.5049211,37.7336173",Fresco,Noah's Ark,
"Cravath, Ruth Wakefield",,,"-122.4184094,37.7793133",,Mayor Alioto,
"Cravath, Ruth Wakefield",,,"-122.3876578,37.7138806",Concrete,Saint Francis,
"Cravath, Ruth Wakefield",Commissioned by the San Francisco Art Commission for City Hall,Over lifesize bust on 5' H shaft,"-122.4184094,37.7793133",Bronze,Angelo J. Rossi (1878-1948),
"Cronin, Don",,,"-122.4184094,37.7793133",bronze and granite,Bust of Michael M. O'Shaugnessy,
"Crumpler, Dewey",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"48"" H X 74 1/2"" W Framed","-122.389979,37.615223",Gouache on paper,Untitled,
"Crutcher, Colette and Barr, Aileen",,,"-122.4737841,37.7618763",,16th Avenue Tiled Steps Project,
Crutcher/Roller,Commissioned by the SFAC for art enrichment for the Oceanview Library.,,"-122.4799043,37.7213122",Cast Concrete,Art Panel,
Crutcher/Roller,Commissioned by the Public Art Program for art enrichment of the Oceanview Library,108 in. x 108 in.,"-122.4659468,37.7142194",Cast concrete,Art Panels,"345 Randolph St
"
Crutcher/Roller,Commissioned by the SFAC for art enrichment for the Oceanview Library.,,"-122.4799043,37.7213122",Cast Concrete,Art Panel,
"Cummings, M. Earl",Located at southwest corner of 19th Avenue and Ulloa.,"18"" X 36""","-122.4754828,37.7411866",Bronze,Carl G. Larsen,
"Cummings, M. Earl",Bequest of Corinne Rideout for the use of the Park Department in embellishing Golden Gate Park.,5' H,"-122.4666711,37.7703537",Granite,Rideout Fountain,
"Cummings, M. Earl",Purchased in 1930 by popular subscription (52 parlors of the Native Sons and Daughters of the Golden,,"-122.473305,37.7715966",Bronze,Doughboy,
"Cummings, M. Earl",Gift of Maria Becker,3' H,"-122.4666711,37.7703537","Bronze, stone and landscaping",Pool of Enchantment,
"Cummings, M. Earl",Gift of Suzanna Brown,Two 4' L sculptures on 9' H granite boulder,"-122.4658805,37.7734009",Bronze,Bear and Lion,"Fulton
"
"Cummings, M. Earl",Gift of the Scots of San Francisco,8' H atop an 8' granite base,"-122.4835193,37.76904",Bronze,Robert Burns (1759-1796),
"Cummings, M. Earl",Purchase funds raised by the San Francisco Firemen in 1922,6' H X 3',"-122.4116033,37.7898163",Bronze,Dennis T. Sullivan (1852-1906) Plaque,"870 Bush St
"
"Cummings, M. Earl",Gift of the National Society of Colonial Dames in California.,"30"" sculpture atop a 4' H shaft","-122.4666711,37.7703537",Bronze,Sun Dial,
"Cummings, M. Earl",Gift of the sculptor to the city of San Francisco.,,"-122.4109539,37.8008791",Bronze,Man Drinking Water,
"Cummings, M. Earl",Gift of A.B. Spreckles,"5'6"" H","-122.4835193,37.76904",Bronze,John McLaren (1846-1943),
"Cuneo, Rinaldo",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Oil,Bay Area Hills,
"Cunningham, Ben F.",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Outdoor Life,
"Daub, Firmin, Hendrickson Sculpture Group",Gift to the City of San Francisco from the Harvey Milk City Hall Memorial Committee,,"-122.4184094,37.7793133",bronze and marble with gold leaf,Harvey Milk Commemorative Bust,
"Davis, Michael and Schwartzenberg, Susan",,,"-122.4347522,37.7694087",Mixed media,"Homage to the Amateur; The American Dream, A Tribute to Harvey Milk; Bio/Obscura",
"Davis, Ron",Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"-122.389979,37.615223",Seriagraph on Paper,Twin Wave,
"Davis, Ron",Purchased by the San Francisco Art Commission for the San Francisco International Airport,34 in. x 43 in.,"-122.389979,37.615223",Seriagraph on Paper,Wide Wave,
"Dean, Mallette (Harold)",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Stockbroker and Scientist-Inventor,
"Defeo, Jay",Purchased by the San Francisco Art Commission for the San Francisco International Airport,96,"-122.467485,37.771673","Mixed media on masonite; oil, plaster, tape, hardboard.",Loop Series 4: Masquerade in Black,
"DeForest, Roy",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"67"" H X 85"" W","-122.389979,37.615223",Varnished polymer on canvas,Homage to Zane Grey,
"Demetrios, Aristedes",Gift of the Cyril Lerner Foundation,7' H X 4' W X 4' D,"-122.464215,37.7798186",Painted steel,Red Gothic,
"Demetrios, Aristides",Purchased by the San Francisco Art Commission for San Francisco City College,114 in. x 60 in. x 48 in.,"-122.451725,37.7277894",Cast bronze,Sentinels,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1994: Staff and Residentes Celebrate the Rededication of the Bell Tower,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1974-1977: Gerald Simon Theater Entertains the Community,
"deSoto, Lewis",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"plaques are 12"" diameter; floor is 12, 000 sq feet","-122.389979,37.615223","bronze, terrazzo, brass",On The Air,
"deSoto, Lewis",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 in. x 120 in.,"-122.4556651,37.7478586",Tapestry,1949-1958: Community Activities at Laguna Honda,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1999: Proposition A for the Laguna Honda Project Gets 73% Voter Approval,
"deSoto, Lewis",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"-122.4556651,37.7478586",Tapestry,1947-1954: University of California . . .,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1990-2000: Volunteers Contribute to Life at Laguna Honda,
"deSoto, Lewis",,variable,"-122.389979,37.615223",Mixed media,"Shining Paths,San Francisco Sister Cities",
"deSoto, Lewis",Commissioned for Art Enrichment of the courthouse,varies,"-122.41883,37.780382","Maple, stainless steel, glass, lighting",Jury Assembly Room,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,Woven,
"deSoto, Lewis",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"-122.4556651,37.7478586",Tapestry,1929-1941: Patient Care During the Great Depression,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1909: President Theodore Roosevelt Visits the Relief Home at Laguna Honda,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1908: The Construction of Clarendon Hall,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,"1926: Mayor James Rolf, Jr. Dedicates the Laguna Honda Main Hospital Building",
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,"1947-1954: University of California, San Francisco . . .",
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1929-1941: Patient Care During the Great Depression,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1949-1958: Community Activities at Laguna Honda,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,1865-1906: The Foundation of the Almshouse and Relief Home at Laguna Honda,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,"1934-1954-1982: Glen Wessel's Murals are Created, Lost and Rediscovered",
"deSoto, Lewis",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 116 in.,"-122.4556651,37.7478586",Tapestry,1908: The Construction of Clarendon Hall,
"deSoto, Lewis",,,"-122.4556651,37.7478586",cotton thread tapestry,"1954-1997: Virginia Leishman, Nursing Director",
"DeStaebler, Stephen",Commissioned by the San Francisco Art Commission for San Francisco City College,8 square feet,"-122.451725,37.7277894",Fired clay/oxides,Fireplace and Hood,
"DeStaebler, Stephen",Purchased by the San Francisco Art Commission for the Moscone Parking Garage,"79"" H X 18"" W X 13 1/4"" D","-122.3994074,37.784337",Bronze,Man with Flame,
"Deutsch, Richard",Commissioned by the San Francisco Art Commission for the Clean Water Program,"6' 8"" diameter","-122.5069516,37.7416749","Marble, bronze, terrazzo",Propeller,
"Di Colbertaldo, Vittorio",Gift to the City of San Francisco by the Italian community of San Francisco.,12' tall marble surround 24 ',"-122.40587,37.802409",Bronze,Christopher Columbus,
